Purchase Doc.Num.,Cal. Year/Month,Agreement No Purchas,Automation flag,Direct/Indirect,Material PO text,Material group,Mat.gr.Hier.lvl 1,Material,Vendor,Purchasing group,Catalog Type Ind.,Purchasing doc. type,Company Code,Country of Plant,Counter PO Items,PO Value in Target Currency,PO Net Value in Target Currency,PO Quantity,,,,,,,,,,,,,,,244
P1/2414551075,1.2023,Not assigned,#,I,PEt assigned5NE2METHANOL,32030000,01_TGS,#,11348580,TWI,#,FO,1105,Taiwan,1,"1,046.08","1,046.08",150 PCE,,,,,,,,,,,,,,,
P1/2414551075,1.2023,Not assigned,#,I,PPt assigned5NE2METH,32030000,01_TGS,#,11348580,TWI,#,FO,1105,Taiwan,1,"2,727.55","2,727.55",20 PCE,,,,,,,,,,,,,,,
P1/2414551075,1.2023,Not assigned,#,I,??KIMWIPES #34155,32030000,01_TGS,#,11348580,TWI,#,FO,1105,Taiwan,1,223.16,223.16,90 PCE,,,,,,,,,,,,,,,
P1/2414551075,1.2023,Not assigned,#,I,xW???h MODEL:DCB-500 (??BOE),32030000,01_TGS,#,11348580,TWI,#,FO,1105,Taiwan,1,"1,239.80","1,239.80",2 PCE,,,,,,,,,,,,,,,
P1/2414551075,1.2023,Not assigned,#,I,!?s?KW SIZE:L (?5LFLOWER),32030000,01_TGS,#,11348580,TWI,#,FO,1105,Taiwan,1,"1,301.79","1,301.79",200 PCE,,,,,,,,,,,,,,,
P1/2414551075,1.2023,Not assigned,#,I,!?s?KW SIZE:M (?5LFLOWER),32030000,01_TGS,#,11348580,TWI,#,FO,1105,Taiwan,1,"1,301.79","1,301.79",200 PCE,,,,,,,,,,,,,,,
P1/2414551075,1.2023,Not assigned,#,I,!?s?KW SIZE:S (?5LFLOWER),32030000,01_TGS,#,11348580,TWI,#,FO,1105,Taiwan,1,"1,301.79","1,301.79",200 PCE,,,,,,,,,,,,,,,
P1/2414551123,1.2023,Not assigned,#,I,MM 2023igned3 (?,21000000,01_TGS,#,11216252,TWI,#,FO,1105,Taiwan,1,"9,298.48","9,298.48",1 AU,,,,,,,,,,,,,,,
P1/2414551209,1.2023,Not assigned,#,I,DRIVE SHAFT; 724468,36419100,01_TGS,47292,7695770,TCI,#,NB,1554,PR of China,1,"40,165.99","40,165.99",1 PCE,,,,,,,,,,,,,,,
P1/2414551345,1.2023,Not assigned,#,I,??6r??? 100ML,32030000,01_TGS,#,11348663,TWI,#,FO,1105,Taiwan,1,"1,015.39","1,015.39",15 EA,,,,,,,,,,,,,,,
P1/2414551345,1.2023,Not assigned,#,I,Q??R(,,,,,,,,,,,,,,,,,,,,,,,,,,,,
??) 30ML,32030000,01_TGS,#,11348663,TWI,#,FO,1105,Taiwan,1,334.75,334.75,12 EA,,,,,,,,,,,,,,,,,,,,
P1/2414551345,1.2023,Not assigned,#,I,Q??R(,,,,,,,,,,,,,,,,,,,,,,,,,,,,
??)2.5ML,32030000,01_TGS,#,11348663,TWI,#,FO,1105,Taiwan,1,"1,394.77","1,394.77",180 EA,,,,,,,,,,,,,,,,,,,,
P1/2414551345,1.2023,Not assigned,#,I,??#?? }?PE?G,32030000,01_TGS,#,11348663,TWI,#,FO,1105,Taiwan,1,"2,789.54","2,789.54",100 EA,,,,,,,,,,,,,,,
P1/2414551426,1.2023,Not assigned,#,I,50ML PP EO d6ML4468L,32030000,01_TGS,#,11348706,TWI,#,FO,1105,Taiwan,1,"3,719.39","3,719.39",50 EA,,,,,,,,,,,,,,,
P1/2414551426,1.2023,Not assigned,#,I,50ML PP R-RAY L4468LOWE,32030000,01_TGS,#,11348706,TWI,#,FO,1105,Taiwan,1,"3,719.39","3,719.39",50 EA,,,,,,,,,,,,,,,
P1/2414551585,1.2023,Not assigned,#,I,IN ELBOW 90d5 L4468LOWER)OE)0,00 KG DR01,23150000,01_TGS,309453,7708868,TCI,#,NB,1554,PR of China,1,"7,986.53","7,986.53",6 PCE,,,,,,,,,,,,,,
P1/2414551644,1.2023,Not assigned,#,I,2023assigne,25041100,01_TGS,#,11364301,TWI,#,YK,1105,Taiwan,1,"6,090.87","6,090.87",1 AU,,,,,,,,,,,,,,,
P1/2414551644,1.2023,Not assigned,#,I,?>?,25041100,01_TGS,#,11364301,TWI,#,YK,1105,Taiwan,1,309.95,309.95,1 AU,,,,,,,,,,,,,,,
P1/2414552727,1.2023,4600016946,X,D,ACETONE,39021201,01_STC,442489,1618107,TWD,#,NB,1105,Taiwan,1,"3,396.07","3,234.35","3,200 KG",,,,,,,,,,,,,,,
P1/2414552972,1.2023,Not assigned,#,I,"YS,SOLENOID4/3,NAMUR,EEXEM,2*24VDC",27220600,01_TGS,4873334,11185592,TTI,#,NB,422,Thailand,1,"15,646.18","15,646.18",2 PCE,,,,,,,,,,,,,,,
P1/2414552983,1.2023,Not assigned,#,I,"TACHOMETER ""HORN"" ,WEZG.700/1-20",36180000,01_TGS,3820121,7367393,TTI,#,NB,422,Thailand,1,"6,655.84","5,499.04",2 PCE,,,,,,,,,,,,,,,
P1/2414553028,1.2023,Not assigned,#,I,0.1N AGNO3 1L,32030000,01_TGS,#,7871003,TCI,F,ZAR,1554,PR of China,1,"2,094.30","2,094.30",20 BT,,,,,,,,,,,,,,,
P1/2414553028,1.2023,Not assigned,#,I,VOLUMETRIC FLASK 50ML,32030000,01_TGS,#,7871003,TCI,F,ZAR,1554,PR of China,1,"2,858.15","2,858.15",80 BOX,,,,,,,,,,,,,,,
P1/2414553030,1.2023,Not assigned,#,I,LAB CONSUMABLES Q4 FOR COMPOSITES,32030000,01_TGS,#,8280254,TCS,F,ZAR,1848,PR of China,1,"5,433.70","5,433.70",1 SET,,,,,,,,,,,,,,,
P1/2414553085,1.2023,4600011443,X,I,B306011443085ES Q4 FOR COMP,22280000,01_TGS,#,7149606,TCI,#,YK,1554,PR of China,1,"1,062.69","1,062.69",1 AU,,,,,,,,,,,,,,,
P1/2414553099,1.2023,Not assigned,#,I,CONVEYOR ROLLER,36150000,01_TGS,#,11275591,TCI,#,YK,1554,PR of China,1,"16,162.84","16,162.84",1 SET,,,,,,,,,,,,,,,
P1/2414553125,1.2023,Not assigned,#,I,H??_D?3F?6?g??6?@(???,27230200,01_TGS,#,11348733,TWI,#,YK,1105,Taiwan,1,"6,585.09","6,585.09",1 AU,,,,,,,,,,,,,,,
P1/2414553176,1.2023,Not assigned,#,I,4/3-WAY SOLENOIDVALVE 24VDC 118.165.024F,36430100,01_TGS,78388761,11255069,TCI,#,NB,1554,PR of China,1,"22,315.50","22,315.50",3 PCE,,,,,,,,,,,,,,,
P1/2414553300,1.2023,Not assigned,#,I,BALL VALVE DN80PN40 1.4571,27220200,01_TGS,330640,7833658,TCI,#,NB,1554,PR of China,1,"11,024.48","11,024.48",1 PCE,,,,,,,,,,,,,,,
P1/2414553659,1.2023,4600018380,X,I,ACTIVE CARBON NORIT RB4C 22.5KG/BAG,99995000,01_IAP,85724151,7504471,TCD,#,NB,1554,PR of China,1,"20,441.71","20,441.71",120 BAG,,,,,,,,,,,,,,,
P1/2414554440,1.2023,Not assigned,#,#,COVSI ANNUAL EIT VERIFICATION 2022 DTT,98200302,01_BSP,#,7750898,TCS,#,YK,1848,PR of China,1,"8,223.48","8,223.48",1 AU,,,,,,,,,,,,,,,
P1/2414555666,1.2023,Not assigned,X,D,H2SO4 signe,38030402,01_I&E,#,8280254,TCD,C,ZAR,1554,PR of China,1,"2,020.75","2,020.75",8 EA,,,,,,,,,,,,,,,
P1/2414555666,1.2023,Not assigned,X,D,NACLOssign,38030402,01_I&E,#,8280254,TCD,C,ZAR,1554,PR of China,1,"1,748.74","1,748.74",12 EA,,,,,,,,,,,,,,,
P1/2414555667,1.2023,Not assigned,X,D,H2SO4 signe,38030402,01_I&E,#,8280254,TCD,C,ZAR,1554,PR of China,1,"2,020.75","2,020.75",8 EA,,,,,,,,,,,,,,,
